Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Trend,Contribution,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Personal Care,Europe,Fragrance,L'Oreal,Foundation,435210,0.46,0.18,0.29,0.16,0.19999999999999998,0.24,0.33999999999999997
Luxury,Africa,Body,L'Oreal,Foundation,166251,0.19,0.08,0.19,0.06,0.1,0.14,0.24
Luxury,South America,Fragrance,MAC,Foundation,203060,0.46,0.2,0.3,0.18000000000000002,0.22,0.25,0.35
Luxury,North America,Body,Kaybeauty,Shampoo,434533,0.13,0.01,0.1,-0.01,0.03,0.05,0.15000000000000002
Personal Care,North America,Makeup,L'Oreal,Body Lotion,327845,0.34,0.19,0.2,0.17,0.21,0.15000000000000002,0.25
Luxury,North America,Makeup,MAC,Body Lotion,328101,0.23,0.01,0.12,-0.01,0.03,0.06999999999999999,0.16999999999999998
Beauty,Africa,Fragrance,Kaybeauty,Perfume,253485,0.19,0.11,0.18,0.09,0.13,0.13,0.22999999999999998
Personal Care,South America,Skincare,Kaybeauty,Body Lotion,65250,0.44,0.08,0.22,0.06,0.1,0.16999999999999998,0.27
Beauty,North America,Makeup,MAC,Bronzer,67300,0.38,0.13,0.29,0.11,0.15,0.24,0.33999999999999997
Luxury,North America,Hair,L'Oreal,Bronzer,77209,0.2,0.06,0.15,0.039999999999999994,0.08,0.09999999999999999,0.2
Luxury,Asia,Body,MAC,Bronzer,436060,0.34,0.1,0.15,0.08,0.12000000000000001,0.09999999999999999,0.2
Personal Care,South America,Skincare,Kaybeauty,Hair Spray,106627,0.4,0.07,0.28,0.05,0.09000000000000001,0.23000000000000004,0.33
Luxury,South America,Makeup,MAC,Perfume,367392,0.17,0.19,0.26,0.17,0.21,0.21000000000000002,0.31
Personal Care,North America,Skincare,L'Oreal,Hair Spray,168643,0.17,0.15,0.25,0.13,0.16999999999999998,0.2,0.3
Beauty,Africa,Hair,MAC,Conditioner,318774,0.3,-0.04,0.18,-0.06,-0.02,0.13,0.22999999999999998
Personal Care,Africa,Body,MAC,Hair Spray,65021,0.41,0.03,0.09,0.009999999999999998,0.05,0.039999999999999994,0.14
Personal Care,Africa,Skincare,MAC,Foundation,67198,0.29,0.07,0.23,0.05,0.09000000000000001,0.18,0.28
Beauty,Europe,Body,MAC,Mascara,338927,0.16,0.13,0.16,0.11,0.15,0.11,0.21000000000000002
Personal Care,Asia,Body,MAC,Body Lotion,298924,0.41,0.07,0.13,0.05,0.09000000000000001,0.08,0.18
Luxury,South America,Makeup,L'Oreal,Conditioner,412408,0.12,-0.02,0.1,-0.04,0.0,0.05,0.15000000000000002
Luxury,Europe,Makeup,MAC,Mascara,418427,0.13,0.14,0.13,0.12000000000000001,0.16,0.08,0.18
Luxury,Africa,Body,Kaybeauty,Perfume,100391,0.2,0.04,0.15,0.02,0.06,0.09999999999999999,0.2
Luxury,South America,Skincare,Kaybeauty,Toner,408220,0.33,0.18,0.06,0.16,0.19999999999999998,0.009999999999999995,0.11
Beauty,South America,Makeup,L'Oreal,Hair Spray,159249,0.11,0.13,0.28,0.11,0.15,0.23000000000000004,0.33
Personal Care,North America,Skincare,L'Oreal,Conditioner,336384,0.29,-0.04,0.22,-0.06,-0.02,0.16999999999999998,0.27
Personal Care,Africa,Fragrance,Kaybeauty,Hair Spray,68013,0.3,0.15,0.27,0.13,0.16999999999999998,0.22000000000000003,0.32
Personal Care,Asia,Fragrance,L'Oreal,Conditioner,180878,0.18,0.06,0.22,0.039999999999999994,0.08,0.16999999999999998,0.27
Personal Care,Europe,Skincare,Kaybeauty,Lipstick,424148,0.47,0.09,0.09,0.06999999999999999,0.11,0.039999999999999994,0.14
Luxury,South America,Skincare,L'Oreal,Mascara,234681,0.48,0.18,0.19,0.16,0.19999999999999998,0.14,0.24
Personal Care,Asia,Hair,Kaybeauty,Shampoo,284295,0.17,0.05,0.09,0.030000000000000002,0.07,0.039999999999999994,0.14
Luxury,Asia,Hair,Kaybeauty,Hair Spray,59415,0.33,-0.03,0.29,-0.05,-0.009999999999999998,0.24,0.33999999999999997
Beauty,South America,Skincare,L'Oreal,Shampoo,334243,0.25,0.08,0.27,0.06,0.1,0.22000000000000003,0.32
Beauty,Asia,Hair,L'Oreal,Body Lotion,147841,0.39,0.14,0.27,0.12000000000000001,0.16,0.22000000000000003,0.32
Personal Care,North America,Hair,MAC,Mascara,274402,0.14,0.17,0.26,0.15000000000000002,0.19,0.21000000000000002,0.31
Beauty,North America,Fragrance,MAC,Body Lotion,499622,0.34,0.16,0.14,0.14,0.18,0.09000000000000001,0.19
Luxury,Asia,Skincare,Kaybeauty,Lipstick,56021,0.37,0.1,0.21,0.08,0.12000000000000001,0.15999999999999998,0.26
Beauty,North America,Body,Kaybeauty,Shampoo,270859,0.15,0.03,0.25,0.009999999999999998,0.05,0.2,0.3
Beauty,Europe,Skincare,Kaybeauty,Body Lotion,285603,0.21,0.05,0.09,0.030000000000000002,0.07,0.039999999999999994,0.14
Personal Care,Africa,Skincare,L'Oreal,Body Lotion,443813,0.44,0.1,0.26,0.08,0.12000000000000001,0.21000000000000002,0.31
Luxury,Europe,Hair,Kaybeauty,Body Lotion,262376,0.41,0.15,0.18,0.13,0.16999999999999998,0.13,0.22999999999999998
Personal Care,Europe,Hair,MAC,Mascara,294533,0.13,0.06,0.19,0.039999999999999994,0.08,0.14,0.24
Personal Care,Africa,Makeup,MAC,Hair Spray,107560,0.41,0.06,0.2,0.039999999999999994,0.08,0.15000000000000002,0.25
Luxury,Europe,Makeup,L'Oreal,Conditioner,256096,0.28,0.11,0.22,0.09,0.13,0.16999999999999998,0.27
Luxury,Asia,Makeup,MAC,Conditioner,56764,0.49,-0.02,0.28,-0.04,0.0,0.23000000000000004,0.33
Beauty,South America,Makeup,MAC,Mascara,106440,0.44,0.09,0.18,0.06999999999999999,0.11,0.13,0.22999999999999998
Beauty,Asia,Hair,Kaybeauty,Conditioner,344614,0.4,0.18,0.16,0.16,0.19999999999999998,0.11,0.21000000000000002
Luxury,North America,Hair,MAC,Perfume,114186,0.35,0.1,0.12,0.08,0.12000000000000001,0.06999999999999999,0.16999999999999998
Personal Care,Europe,Fragrance,Kaybeauty,Toner,368531,0.22,0.08,0.15,0.06,0.1,0.09999999999999999,0.2
Personal Care,Africa,Body,L'Oreal,Body Lotion,83525,0.32,-0.04,0.18,-0.06,-0.02,0.13,0.22999999999999998
Personal Care,North America,Skincare,L'Oreal,Mascara,145967,0.16,0.06,0.16,0.039999999999999994,0.08,0.11,0.21000000000000002
Beauty,Europe,Body,MAC,Shampoo,51049,0.31,0.15,0.19,0.13,0.16999999999999998,0.14,0.24
Personal Care,North America,Skincare,L'Oreal,Perfume,350438,0.19,0.0,0.28,-0.02,0.02,0.23000000000000004,0.33
Beauty,Asia,Body,L'Oreal,Hair Spray,448810,0.31,-0.02,0.22,-0.04,0.0,0.16999999999999998,0.27
Luxury,South America,Makeup,Kaybeauty,Mascara,207048,0.38,0.14,0.25,0.12000000000000001,0.16,0.2,0.3
Luxury,North America,Body,MAC,Conditioner,165064,0.26,0.19,0.11,0.17,0.21,0.06,0.16
Beauty,Asia,Body,MAC,Perfume,446681,0.38,0.08,0.27,0.06,0.1,0.22000000000000003,0.32
Beauty,Europe,Makeup,L'Oreal,Bronzer,97003,0.16,-0.02,0.1,-0.04,0.0,0.05,0.15000000000000002
Personal Care,North America,Skincare,MAC,Perfume,199112,0.39,0.19,0.18,0.17,0.21,0.13,0.22999999999999998
Luxury,Europe,Hair,Kaybeauty,Bronzer,154509,0.26,0.11,0.19,0.09,0.13,0.14,0.24
Luxury,South America,Skincare,L'Oreal,Mascara,252668,0.48,0.17,0.23,0.15000000000000002,0.19,0.18,0.28
Luxury,South America,Makeup,MAC,Mascara,420755,0.4,0.08,0.12,0.06,0.1,0.06999999999999999,0.16999999999999998
Personal Care,Asia,Hair,Kaybeauty,Body Lotion,494086,0.23,0.07,0.2,0.05,0.09000000000000001,0.15000000000000002,0.25
Personal Care,South America,Body,MAC,Body Lotion,492900,0.39,0.05,0.14,0.030000000000000002,0.07,0.09000000000000001,0.19
Beauty,Africa,Skincare,L'Oreal,Lipstick,401206,0.32,0.07,0.08,0.05,0.09000000000000001,0.03,0.13
Beauty,Asia,Skincare,Kaybeauty,Body Lotion,103806,0.34,0.11,0.15,0.09,0.13,0.09999999999999999,0.2
Beauty,South America,Fragrance,L'Oreal,Bronzer,471136,0.48,0.16,0.26,0.14,0.18,0.21000000000000002,0.31
Luxury,North America,Skincare,MAC,Shampoo,201174,0.28,-0.04,0.24,-0.06,-0.02,0.19,0.29
Beauty,Africa,Makeup,Kaybeauty,Conditioner,256553,0.34,0.18,0.05,0.16,0.19999999999999998,0.0,0.1
Luxury,North America,Hair,Kaybeauty,Hair Spray,280517,0.17,0.12,0.16,0.09999999999999999,0.13999999999999999,0.11,0.21000000000000002
Luxury,Africa,Skincare,MAC,Mascara,449871,0.46,-0.05,0.28,-0.07,-0.030000000000000002,0.23000000000000004,0.33
Beauty,Europe,Makeup,L'Oreal,Shampoo,430079,0.37,0.09,0.29,0.06999999999999999,0.11,0.24,0.33999999999999997
Luxury,Asia,Fragrance,MAC,Conditioner,487869,0.3,0.12,0.25,0.09999999999999999,0.13999999999999999,0.2,0.3
Personal Care,Africa,Body,MAC,Mascara,165042,0.35,0.1,0.13,0.08,0.12000000000000001,0.08,0.18
Luxury,Europe,Skincare,L'Oreal,Body Lotion,195762,0.26,0.02,0.26,0.0,0.04,0.21000000000000002,0.31
Luxury,Europe,Fragrance,Kaybeauty,Perfume,61519,0.25,0.13,0.17,0.11,0.15,0.12000000000000001,0.22000000000000003
Luxury,Asia,Makeup,Kaybeauty,Foundation,187687,0.25,-0.05,0.08,-0.07,-0.030000000000000002,0.03,0.13
Luxury,Africa,Makeup,L'Oreal,Perfume,166770,0.31,-0.02,0.11,-0.04,0.0,0.06,0.16
Luxury,Asia,Skincare,L'Oreal,Conditioner,221796,0.31,0.16,0.15,0.14,0.18,0.09999999999999999,0.2
Luxury,Asia,Skincare,Kaybeauty,Foundation,384937,0.2,-0.01,0.24,-0.03,0.01,0.19,0.29
Personal Care,Asia,Skincare,Kaybeauty,Foundation,499998,0.17,0.14,0.25,0.12000000000000001,0.16,0.2,0.3
Beauty,Africa,Body,L'Oreal,Lipstick,363241,0.37,0.14,0.11,0.12000000000000001,0.16,0.06,0.16
Personal Care,Africa,Hair,MAC,Shampoo,381589,0.46,0.08,0.26,0.06,0.1,0.21000000000000002,0.31
Personal Care,North America,Body,MAC,Shampoo,60652,0.34,0.16,0.15,0.14,0.18,0.09999999999999999,0.2
Personal Care,Africa,Skincare,L'Oreal,Lipstick,242416,0.33,0.19,0.28,0.17,0.21,0.23000000000000004,0.33
Beauty,Europe,Makeup,MAC,Shampoo,305392,0.3,0.16,0.18,0.14,0.18,0.13,0.22999999999999998
Beauty,South America,Body,L'Oreal,Mascara,158806,0.24,0.02,0.14,0.0,0.04,0.09000000000000001,0.19
Luxury,North America,Hair,L'Oreal,Shampoo,386564,0.3,0.15,0.29,0.13,0.16999999999999998,0.24,0.33999999999999997
Beauty,Europe,Makeup,L'Oreal,Perfume,451679,0.35,0.06,0.1,0.039999999999999994,0.08,0.05,0.15000000000000002
Beauty,Europe,Body,L'Oreal,Perfume,496439,0.24,0.04,0.28,0.02,0.06,0.23000000000000004,0.33
Luxury,Africa,Hair,MAC,Conditioner,271404,0.35,0.19,0.13,0.17,0.21,0.08,0.18
Personal Care,Europe,Makeup,MAC,Hair Spray,354264,0.4,-0.04,0.3,-0.06,-0.02,0.25,0.35
Beauty,North America,Skincare,L'Oreal,Foundation,386239,0.32,0.01,0.26,-0.01,0.03,0.21000000000000002,0.31
Personal Care,Asia,Skincare,L'Oreal,Hair Spray,208651,0.33,-0.01,0.23,-0.03,0.01,0.18,0.28
Personal Care,Europe,Fragrance,MAC,Perfume,344740,0.18,0.02,0.18,0.0,0.04,0.13,0.22999999999999998
Luxury,South America,Skincare,L'Oreal,Toner,54263,0.45,-0.03,0.24,-0.05,-0.009999999999999998,0.19,0.29
Luxury,South America,Makeup,Kaybeauty,Foundation,153533,0.47,-0.04,0.06,-0.06,-0.02,0.009999999999999995,0.11
Luxury,Europe,Hair,Kaybeauty,Toner,410256,0.35,-0.04,0.27,-0.06,-0.02,0.22000000000000003,0.32
Luxury,Africa,Body,L'Oreal,Toner,352292,0.48,0.2,0.11,0.18000000000000002,0.22,0.06,0.16
Luxury,North America,Fragrance,L'Oreal,Mascara,86355,0.3,-0.04,0.22,-0.06,-0.02,0.16999999999999998,0.27
Luxury,Europe,Makeup,Kaybeauty,Mascara,136153,0.11,-0.03,0.12,-0.05,-0.009999999999999998,0.06999999999999999,0.16999999999999998
Beauty,Asia,Hair,L'Oreal,Hair Spray,178019,0.4,-0.02,0.17,-0.04,0.0,0.12000000000000001,0.22000000000000003
Beauty,Africa,Fragrance,L'Oreal,Perfume,131541,0.31,0.18,0.19,0.16,0.19999999999999998,0.14,0.24
Luxury,North America,Skincare,L'Oreal,Hair Spray,420644,0.5,0.11,0.19,0.09,0.13,0.14,0.24
Personal Care,Africa,Body,Kaybeauty,Hair Spray,187912,0.22,0.02,0.12,0.0,0.04,0.06999999999999999,0.16999999999999998
Beauty,Asia,Makeup,L'Oreal,Perfume,165503,0.28,0.05,0.23,0.030000000000000002,0.07,0.18,0.28
Luxury,Asia,Skincare,Kaybeauty,Hair Spray,95215,0.39,0.03,0.13,0.009999999999999998,0.05,0.08,0.18
Personal Care,Europe,Makeup,MAC,Body Lotion,342248,0.43,0.03,0.3,0.009999999999999998,0.05,0.25,0.35
Personal Care,South America,Body,MAC,Shampoo,251664,0.28,0.06,0.11,0.039999999999999994,0.08,0.06,0.16
Personal Care,Europe,Skincare,MAC,Toner,361311,0.29,0.12,0.27,0.09999999999999999,0.13999999999999999,0.22000000000000003,0.32
Luxury,Asia,Fragrance,MAC,Toner,61826,0.13,0.04,0.22,0.02,0.06,0.16999999999999998,0.27
Luxury,Asia,Body,MAC,Foundation,242949,0.35,-0.05,0.1,-0.07,-0.030000000000000002,0.05,0.15000000000000002
Beauty,Asia,Makeup,Kaybeauty,Conditioner,137340,0.17,0.11,0.17,0.09,0.13,0.12000000000000001,0.22000000000000003
Luxury,South America,Fragrance,Kaybeauty,Perfume,107748,0.35,-0.03,0.29,-0.05,-0.009999999999999998,0.24,0.33999999999999997
Personal Care,Asia,Hair,MAC,Perfume,58078,0.14,0.1,0.12,0.08,0.12000000000000001,0.06999999999999999,0.16999999999999998
Beauty,Asia,Fragrance,MAC,Lipstick,459470,0.43,0.0,0.11,-0.02,0.02,0.06,0.16
Beauty,South America,Hair,L'Oreal,Shampoo,362809,0.3,0.19,0.26,0.17,0.21,0.21000000000000002,0.31
Personal Care,Africa,Body,MAC,Lipstick,312968,0.48,-0.03,0.28,-0.05,-0.009999999999999998,0.23000000000000004,0.33
Beauty,Africa,Fragrance,Kaybeauty,Mascara,304322,0.34,0.12,0.2,0.09999999999999999,0.13999999999999999,0.15000000000000002,0.25
Luxury,Africa,Fragrance,Kaybeauty,Toner,241707,0.29,0.03,0.08,0.009999999999999998,0.05,0.03,0.13
Luxury,South America,Body,Kaybeauty,Mascara,468754,0.24,0.03,0.28,0.009999999999999998,0.05,0.23000000000000004,0.33
Beauty,Africa,Hair,L'Oreal,Shampoo,324025,0.38,0.1,0.26,0.08,0.12000000000000001,0.21000000000000002,0.31
Beauty,Asia,Skincare,L'Oreal,Body Lotion,56553,0.46,0.07,0.26,0.05,0.09000000000000001,0.21000000000000002,0.31
Personal Care,North America,Fragrance,Kaybeauty,Lipstick,154512,0.12,0.05,0.13,0.030000000000000002,0.07,0.08,0.18
Personal Care,North America,Body,Kaybeauty,Body Lotion,176525,0.21,0.09,0.09,0.06999999999999999,0.11,0.039999999999999994,0.14
Beauty,Africa,Body,L'Oreal,Perfume,141707,0.17,0.05,0.14,0.030000000000000002,0.07,0.09000000000000001,0.19
Beauty,South America,Body,L'Oreal,Lipstick,210592,0.38,-0.01,0.28,-0.03,0.01,0.23000000000000004,0.33
Beauty,South America,Fragrance,MAC,Hair Spray,482323,0.41,-0.01,0.06,-0.03,0.01,0.009999999999999995,0.11
Beauty,North America,Skincare,Kaybeauty,Lipstick,142035,0.3,0.0,0.23,-0.02,0.02,0.18,0.28
Beauty,Africa,Skincare,Kaybeauty,Mascara,254705,0.44,0.12,0.28,0.09999999999999999,0.13999999999999999,0.23000000000000004,0.33
Beauty,Asia,Skincare,L'Oreal,Foundation,88575,0.47,0.05,0.19,0.030000000000000002,0.07,0.14,0.24
Luxury,North America,Fragrance,MAC,Bronzer,211554,0.44,0.12,0.12,0.09999999999999999,0.13999999999999999,0.06999999999999999,0.16999999999999998
Beauty,South America,Fragrance,MAC,Foundation,244469,0.11,0.06,0.06,0.039999999999999994,0.08,0.009999999999999995,0.11
Beauty,South America,Body,Kaybeauty,Perfume,67601,0.37,0.15,0.18,0.13,0.16999999999999998,0.13,0.22999999999999998
Luxury,Africa,Skincare,MAC,Toner,340144,0.16,0.01,0.11,-0.01,0.03,0.06,0.16
Beauty,South America,Body,MAC,Toner,368457,0.47,0.02,0.15,0.0,0.04,0.09999999999999999,0.2
Luxury,Europe,Hair,L'Oreal,Mascara,465949,0.12,0.05,0.19,0.030000000000000002,0.07,0.14,0.24
Personal Care,Africa,Fragrance,Kaybeauty,Perfume,377660,0.37,0.11,0.16,0.09,0.13,0.11,0.21000000000000002
Personal Care,Asia,Fragrance,Kaybeauty,Shampoo,317825,0.23,0.13,0.07,0.11,0.15,0.020000000000000004,0.12000000000000001
Personal Care,Asia,Makeup,MAC,Foundation,140073,0.28,0.05,0.11,0.030000000000000002,0.07,0.06,0.16
Beauty,South America,Hair,Kaybeauty,Foundation,231644,0.23,0.14,0.1,0.12000000000000001,0.16,0.05,0.15000000000000002
Luxury,Asia,Makeup,Kaybeauty,Mascara,370359,0.18,-0.0,0.18,-0.02,0.02,0.13,0.22999999999999998
Luxury,Europe,Skincare,L'Oreal,Perfume,129311,0.1,0.06,0.14,0.039999999999999994,0.08,0.09000000000000001,0.19
Beauty,South America,Hair,MAC,Perfume,58831,0.19,0.07,0.17,0.05,0.09000000000000001,0.12000000000000001,0.22000000000000003
Beauty,Europe,Makeup,Kaybeauty,Shampoo,416360,0.39,0.14,0.17,0.12000000000000001,0.16,0.12000000000000001,0.22000000000000003
Personal Care,Africa,Skincare,L'Oreal,Bronzer,100151,0.18,-0.0,0.08,-0.02,0.02,0.03,0.13
Luxury,Europe,Makeup,L'Oreal,Conditioner,217813,0.27,0.13,0.18,0.11,0.15,0.13,0.22999999999999998
Beauty,Europe,Makeup,Kaybeauty,Hair Spray,208964,0.21,0.12,0.25,0.09999999999999999,0.13999999999999999,0.2,0.3
Luxury,Africa,Hair,Kaybeauty,Conditioner,206547,0.24,0.14,0.19,0.12000000000000001,0.16,0.14,0.24
Personal Care,Asia,Fragrance,L'Oreal,Mascara,340320,0.18,0.09,0.28,0.06999999999999999,0.11,0.23000000000000004,0.33
Luxury,North America,Makeup,Kaybeauty,Hair Spray,68830,0.45,0.0,0.21,-0.02,0.02,0.15999999999999998,0.26
Personal Care,Africa,Makeup,Kaybeauty,Foundation,183703,0.41,0.03,0.09,0.009999999999999998,0.05,0.039999999999999994,0.14
Luxury,Europe,Body,L'Oreal,Toner,437707,0.26,0.1,0.14,0.08,0.12000000000000001,0.09000000000000001,0.19
Beauty,South America,Makeup,MAC,Hair Spray,52395,0.14,0.11,0.21,0.09,0.13,0.15999999999999998,0.26
Beauty,North America,Hair,MAC,Shampoo,339068,0.33,-0.04,0.17,-0.06,-0.02,0.12000000000000001,0.22000000000000003
Personal Care,Asia,Hair,MAC,Conditioner,320398,0.15,0.01,0.24,-0.01,0.03,0.19,0.29
Personal Care,North America,Makeup,MAC,Body Lotion,65330,0.4,0.11,0.3,0.09,0.13,0.25,0.35
Luxury,North America,Makeup,L'Oreal,Lipstick,145815,0.13,0.02,0.27,0.0,0.04,0.22000000000000003,0.32
Luxury,Asia,Hair,Kaybeauty,Body Lotion,178771,0.21,0.11,0.23,0.09,0.13,0.18,0.28
Beauty,Europe,Skincare,Kaybeauty,Lipstick,223497,0.31,0.14,0.22,0.12000000000000001,0.16,0.16999999999999998,0.27
Luxury,Asia,Hair,MAC,Body Lotion,223333,0.15,-0.05,0.27,-0.07,-0.030000000000000002,0.22000000000000003,0.32
Luxury,North America,Fragrance,Kaybeauty,Body Lotion,263165,0.22,0.13,0.08,0.11,0.15,0.03,0.13
Beauty,Africa,Hair,MAC,Toner,182850,0.1,-0.04,0.28,-0.06,-0.02,0.23000000000000004,0.33
Personal Care,Africa,Makeup,Kaybeauty,Perfume,437220,0.13,0.09,0.13,0.06999999999999999,0.11,0.08,0.18
Personal Care,Africa,Skincare,MAC,Mascara,69455,0.47,0.15,0.22,0.13,0.16999999999999998,0.16999999999999998,0.27
Beauty,Africa,Skincare,Kaybeauty,Bronzer,115642,0.21,0.08,0.12,0.06,0.1,0.06999999999999999,0.16999999999999998
Personal Care,South America,Makeup,MAC,Toner,317544,0.27,0.14,0.23,0.12000000000000001,0.16,0.18,0.28
Personal Care,North America,Body,L'Oreal,Perfume,312063,0.12,0.12,0.27,0.09999999999999999,0.13999999999999999,0.22000000000000003,0.32
Luxury,Africa,Makeup,L'Oreal,Bronzer,454241,0.42,0.14,0.25,0.12000000000000001,0.16,0.2,0.3
Beauty,South America,Skincare,MAC,Body Lotion,166072,0.12,-0.04,0.14,-0.06,-0.02,0.09000000000000001,0.19
Luxury,Asia,Skincare,L'Oreal,Hair Spray,160623,0.26,0.16,0.05,0.14,0.18,0.0,0.1
Personal Care,Asia,Hair,L'Oreal,Bronzer,421666,0.29,-0.01,0.12,-0.03,0.01,0.06999999999999999,0.16999999999999998
Beauty,Asia,Fragrance,Kaybeauty,Lipstick,352383,0.21,0.17,0.2,0.15000000000000002,0.19,0.15000000000000002,0.25
Beauty,North America,Body,Kaybeauty,Foundation,392543,0.28,0.2,0.26,0.18000000000000002,0.22,0.21000000000000002,0.31
Luxury,Asia,Makeup,MAC,Mascara,100022,0.19,-0.05,0.13,-0.07,-0.030000000000000002,0.08,0.18
Luxury,South America,Hair,MAC,Toner,74815,0.4,0.18,0.06,0.16,0.19999999999999998,0.009999999999999995,0.11
Beauty,Asia,Skincare,L'Oreal,Lipstick,410219,0.29,0.09,0.28,0.06999999999999999,0.11,0.23000000000000004,0.33
Luxury,South America,Makeup,L'Oreal,Bronzer,414745,0.4,0.12,0.11,0.09999999999999999,0.13999999999999999,0.06,0.16
Beauty,South America,Hair,Kaybeauty,Perfume,322201,0.32,0.07,0.19,0.05,0.09000000000000001,0.14,0.24
Beauty,South America,Body,MAC,Conditioner,52673,0.13,0.19,0.29,0.17,0.21,0.24,0.33999999999999997
Luxury,North America,Skincare,Kaybeauty,Shampoo,63665,0.29,0.16,0.29,0.14,0.18,0.24,0.33999999999999997
Luxury,Europe,Makeup,Kaybeauty,Perfume,194294,0.48,0.1,0.1,0.08,0.12000000000000001,0.05,0.15000000000000002
Luxury,North America,Fragrance,L'Oreal,Mascara,226169,0.29,0.18,0.26,0.16,0.19999999999999998,0.21000000000000002,0.31
Personal Care,North America,Body,MAC,Conditioner,59404,0.19,0.04,0.13,0.02,0.06,0.08,0.18
Beauty,Europe,Fragrance,Kaybeauty,Hair Spray,66997,0.36,0.14,0.24,0.12000000000000001,0.16,0.19,0.29
Luxury,Asia,Hair,L'Oreal,Lipstick,202842,0.35,0.05,0.19,0.030000000000000002,0.07,0.14,0.24
Beauty,Africa,Body,L'Oreal,Bronzer,340534,0.46,-0.05,0.23,-0.07,-0.030000000000000002,0.18,0.28
Luxury,North America,Skincare,Kaybeauty,Perfume,437064,0.3,0.19,0.2,0.17,0.21,0.15000000000000002,0.25
Beauty,South America,Makeup,Kaybeauty,Conditioner,105904,0.41,0.17,0.18,0.15000000000000002,0.19,0.13,0.22999999999999998
Beauty,Asia,Hair,Kaybeauty,Body Lotion,285847,0.29,-0.02,0.14,-0.04,0.0,0.09000000000000001,0.19
Luxury,Asia,Fragrance,MAC,Shampoo,400386,0.46,0.05,0.18,0.030000000000000002,0.07,0.13,0.22999999999999998
Personal Care,South America,Skincare,L'Oreal,Perfume,202481,0.47,0.08,0.23,0.06,0.1,0.18,0.28
Luxury,Africa,Body,Kaybeauty,Perfume,287011,0.4,0.08,0.27,0.06,0.1,0.22000000000000003,0.32
Luxury,Africa,Skincare,L'Oreal,Perfume,384341,0.22,0.2,0.12,0.18000000000000002,0.22,0.06999999999999999,0.16999999999999998
Personal Care,Europe,Fragrance,Kaybeauty,Mascara,95313,0.34,0.09,0.21,0.06999999999999999,0.11,0.15999999999999998,0.26
Luxury,North America,Body,Kaybeauty,Mascara,497695,0.19,-0.01,0.14,-0.03,0.01,0.09000000000000001,0.19
Beauty,Europe,Makeup,MAC,Body Lotion,487744,0.2,-0.01,0.29,-0.03,0.01,0.24,0.33999999999999997
Personal Care,Africa,Hair,L'Oreal,Perfume,409571,0.19,0.02,0.18,0.0,0.04,0.13,0.22999999999999998
Luxury,South America,Hair,L'Oreal,Mascara,145148,0.11,0.13,0.17,0.11,0.15,0.12000000000000001,0.22000000000000003
Personal Care,South America,Hair,L'Oreal,Perfume,196874,0.14,0.14,0.06,0.12000000000000001,0.16,0.009999999999999995,0.11
Beauty,Europe,Skincare,L'Oreal,Bronzer,264209,0.44,0.1,0.22,0.08,0.12000000000000001,0.16999999999999998,0.27
Luxury,South America,Hair,Kaybeauty,Shampoo,113528,0.12,-0.05,0.08,-0.07,-0.030000000000000002,0.03,0.13
Personal Care,South America,Skincare,L'Oreal,Bronzer,317446,0.45,0.04,0.07,0.02,0.06,0.020000000000000004,0.12000000000000001
Personal Care,Europe,Hair,MAC,Lipstick,322678,0.2,0.02,0.06,0.0,0.04,0.009999999999999995,0.11
Beauty,Asia,Fragrance,MAC,Hair Spray,283208,0.28,0.15,0.26,0.13,0.16999999999999998,0.21000000000000002,0.31
Luxury,Europe,Hair,Kaybeauty,Mascara,235153,0.3,0.06,0.18,0.039999999999999994,0.08,0.13,0.22999999999999998
Luxury,North America,Hair,MAC,Perfume,393133,0.17,-0.03,0.24,-0.05,-0.009999999999999998,0.19,0.29
Personal Care,Europe,Body,Kaybeauty,Toner,89369,0.26,0.04,0.21,0.02,0.06,0.15999999999999998,0.26
Luxury,Europe,Makeup,Kaybeauty,Hair Spray,63672,0.18,-0.04,0.18,-0.06,-0.02,0.13,0.22999999999999998
Personal Care,Asia,Skincare,Kaybeauty,Shampoo,166916,0.49,0.12,0.11,0.09999999999999999,0.13999999999999999,0.06,0.16
Personal Care,Europe,Fragrance,Kaybeauty,Bronzer,100547,0.44,0.06,0.29,0.039999999999999994,0.08,0.24,0.33999999999999997
Luxury,Africa,Skincare,Kaybeauty,Mascara,209141,0.37,0.17,0.27,0.15000000000000002,0.19,0.22000000000000003,0.32
Personal Care,Africa,Skincare,MAC,Shampoo,93168,0.38,0.02,0.12,0.0,0.04,0.06999999999999999,0.16999999999999998
Beauty,Africa,Skincare,L'Oreal,Conditioner,377452,0.29,0.12,0.2,0.09999999999999999,0.13999999999999999,0.15000000000000002,0.25
Beauty,Asia,Makeup,MAC,Conditioner,144791,0.44,0.07,0.25,0.05,0.09000000000000001,0.2,0.3
Beauty,Asia,Fragrance,MAC,Lipstick,81351,0.43,0.02,0.19,0.0,0.04,0.14,0.24
Beauty,Asia,Fragrance,Kaybeauty,Perfume,242408,0.49,-0.01,0.25,-0.03,0.01,0.2,0.3
Beauty,North America,Body,L'Oreal,Conditioner,497456,0.47,0.15,0.28,0.13,0.16999999999999998,0.23000000000000004,0.33
